timestamp,machine_id,utilization_percent,temperature,vibration,status
2025-01-01 08:00:00,0,56,87,0.65,RISK
2025-01-01 08:05:00,0,62,50,0.33,NORMAL
2025-01-01 08:10:00,0,48,66,0.85,RISK
2025-01-01 08:15:00,0,83,55,0.73,NORMAL
2025-01-01 08:20:00,0,82,50,0.43,NORMAL
2025-01-01 08:25:00,0,96,85,1.0,RISK
2025-01-01 08:30:00,0,41,74,0.58,NORMAL
2025-01-01 08:35:00,0,80,55,0.61,NORMAL
2025-01-01 08:40:00,0,97,91,0.7,RISK
2025-01-01 08:45:00,0,65,74,0.65,NORMAL
2025-01-01 08:50:00,0,52,88,0.25,RISK
2025-01-01 08:55:00,0,73,81,0.17,NORMAL
2025-01-01 09:00:00,0,52,97,0.97,RISK
2025-01-01 09:05:00,0,73,57,0.89,RISK
2025-01-01 09:10:00,0,52,56,0.65,NORMAL
2025-01-01 09:15:00,0,91,84,0.51,NORMAL
2025-01-01 09:20:00,0,100,56,0.3,NORMAL
2025-01-01 09:25:00,0,58,56,0.4,NORMAL
2025-01-01 09:30:00,0,51,96,0.73,RISK
2025-01-01 09:35:00,0,81,53,0.93,RISK
2025-01-01 09:40:00,0,93,54,0.25,NORMAL
2025-01-01 09:45:00,0,78,62,0.21,NORMAL
2025-01-01 09:50:00,0,66,69,0.85,RISK
2025-01-01 09:55:00,0,81,67,0.31,NORMAL
2025-01-01 10:00:00,0,98,91,0.97,RISK
2025-01-01 10:05:00,0,95,90,0.99,RISK
2025-01-01 10:10:00,0,93,90,0.96,RISK
2025-01-01 10:15:00,0,87,98,0.53,RISK
2025-01-01 10:20:00,0,46,63,0.42,NORMAL
2025-01-01 10:25:00,0,61,92,0.5,RISK
2025-01-01 10:30:00,0,65,74,0.51,NORMAL
2025-01-01 10:35:00,0,73,80,0.22,NORMAL
2025-01-01 10:40:00,0,71,96,0.58,RISK
2025-01-01 10:45:00,0,47,79,0.46,NORMAL
2025-01-01 10:50:00,0,62,53,0.18,NORMAL
2025-01-01 10:55:00,0,67,58,0.98,RISK
2025-01-01 11:00:00,0,92,90,0.14,RISK
2025-01-01 11:05:00,0,83,98,0.27,RISK
2025-01-01 11:10:00,0,78,63,0.49,NORMAL
2025-01-01 11:15:00,0,58,93,0.75,RISK
2025-01-01 11:20:00,0,48,97,0.56,RISK
2025-01-01 11:25:00,0,52,88,0.4,RISK
2025-01-01 11:30:00,0,54,63,0.69,NORMAL
2025-01-01 11:35:00,0,63,97,0.34,RISK
2025-01-01 11:40:00,0,49,96,0.2,RISK
2025-01-01 11:45:00,0,84,86,0.73,RISK
2025-01-01 11:50:00,0,71,88,0.48,RISK
2025-01-01 11:55:00,0,93,99,0.29,RISK
2025-01-01 12:00:00,0,78,53,0.73,NORMAL
2025-01-01 12:05:00,0,86,70,0.94,RISK
2025-01-01 12:10:00,0,77,89,0.79,RISK
2025-01-01 12:15:00,0,94,74,0.85,RISK
2025-01-01 12:20:00,0,87,63,0.49,NORMAL
2025-01-01 12:25:00,0,73,51,0.34,NORMAL
2025-01-01 12:30:00,0,45,57,0.15,NORMAL
2025-01-01 12:35:00,0,48,100,0.55,RISK
2025-01-01 12:40:00,0,52,95,0.27,RISK
2025-01-01 12:45:00,0,80,65,0.44,NORMAL
2025-01-01 12:50:00,0,61,69,0.83,RISK
2025-01-01 12:55:00,0,57,89,0.55,RISK
2025-01-01 13:00:00,0,67,55,0.32,NORMAL
2025-01-01 13:05:00,0,98,88,0.23,RISK
2025-01-01 13:10:00,0,91,93,0.39,RISK
2025-01-01 13:15:00,0,77,80,0.58,NORMAL
2025-01-01 13:20:00,0,71,85,0.4,NORMAL
2025-01-01 13:25:00,0,82,52,0.85,RISK
2025-01-01 13:30:00,0,86,60,0.95,RISK
2025-01-01 13:35:00,0,68,91,0.52,RISK
2025-01-01 13:40:00,0,96,77,0.65,NORMAL
2025-01-01 13:45:00,0,81,85,0.59,NORMAL
2025-01-01 13:50:00,0,81,80,0.37,NORMAL
2025-01-01 13:55:00,0,96,62,0.65,NORMAL
2025-01-01 14:00:00,0,87,54,0.98,RISK
2025-01-01 14:05:00,0,40,78,0.65,NORMAL
2025-01-01 14:10:00,0,57,62,0.31,NORMAL
2025-01-01 14:15:00,0,98,53,0.6,NORMAL
2025-01-01 14:20:00,0,41,91,0.39,RISK
2025-01-01 14:25:00,0,42,66,0.8,NORMAL
2025-01-01 14:30:00,0,98,82,0.82,RISK
2025-01-01 14:35:00,0,76,93,0.77,RISK
2025-01-01 14:40:00,0,58,73,0.13,NORMAL
2025-01-01 14:45:00,0,43,71,0.94,RISK
